Number,compound,Element1,Element2,Class,Pauling EN,Martynov-Batsanov EN,Gordy EN,Mulliken EN,Allred-Rochow EN,Pauling Mean EN,Martynov-Batsanov Mean EN,Gordy Mean EN,Mulliken Mean EN,Allred-Rochow Mean EN,Pauling Ionic Character,Martynov Ionic Character,Gordy Ionic Character,Mulliken Ionic Character,Allred-Rochow Ionic Character,Sum of Valence e-,Mean # e-,Atomic number sum,Atomic number difference,Mean atomic number,Atomic weight difference,Mean atomic weight,Atomic weight sum,Atomic radius sum,Mean atomic radius,Atomic radius ratio,2xatomic radius difference,Covalent radius sum,Mean covalent radius,Covalent radius ratio,2xcovalent radius difference,Zunger radius sum,Mean Zunger radius sum,Zungerradius sum ratio,2xZunger radius sum difference,Zunger radius sum difference,Ionic radius sum,Mean ionic radius,Ionic radius ratio,2xionic radius difference,Crystal radius sum,Mean crystal radius,Crystal radius ratio,2xcrystal radius difference,Period number sum,Mean period number,Period number difference,Group number sum,Mean group number,Group Number difference,Family number sum,Mean family number,Family number difference,Quantum number sum,Mean quantum number ,Quantum number difference
87,BeS,Be, S,3,1.01,1.2,2.0516,1.32,1.013,2.075,2.05,4.82,5.56,2.0825,0.225102875,0.302323674,0.650854186,0.353123575,0.226277696,8,4,20,12,10,23.05382,20.53909,41.07818,2.05,1.025,0.952380952,0.1,1.92,0.96,0.882352941,0.24,2.18,1.09,0.981818182,0.04,0.02,2.05,1.025,0.952380952,0.1,0.84,0.42,0.953488372,0.04,5,2.5,1,18,9,14,9,4.5,5,1,0.5,1
97,BeCo,Be, Co,1,0.31,0.27,0.2966,0.6,0.264,1.725,1.585,3.6459,4.6,1.708,0.023738697,0.018059929,0.02175281,0.086068815,0.01727308,11,5.5,31,23,15.5,49.92102,33.97269,67.94538,2.4,1.2,0.777777778,0.6,2.06,1.03,0.775862069,0.52,3.1,1.55,0.534653465,1.88,0.94,2.4,1.2,0.777777778,0.6,0.95,0.475,0.759259259,0.26,6,3,2,11,5.5,7,5,2.5,1,2,1,2
98,BeNi,Be, Ni,1,0.34,0.31,0.2151,0.5,0.304,1.74,1.605,3.68665,4.65,1.728,0.028486389,0.023738697,0.011500362,0.060586937,0.022839146,12,6,32,24,16,49.68122,33.85279,67.70558,2.4,1.2,0.777777778,0.6,2.05,1.025,0.782608696,0.5,3.26,1.63,0.495412844,2.2,1.1,2.4,1.2,0.777777778,0.6,1.11,0.555,0.585714286,0.58,6,3,2,12,6,8,5,2.5,1,2,1,2
99,BeCu,Be, Cu,1,0.33,0.37,0.1305,0.42,0.274,1.735,1.265,3.72895,4.69,1.713,0.02685774,0.033645949,0.004248512,0.043141733,0.018593959,13,6.5,33,25,16.5,54.53382,36.27909,72.55818,2.4,1.2,0.777777778,0.6,2.07,1.035,0.769230769,0.54,3.12,1.56,0.529411765,1.92,0.96,2.4,1.2,0.777777778,0.6,1.12,0.56,0.577464789,0.6,6,3,2,13,6.5,9,5,2.5,1,2,1,2
104,BeSe,Be, Se,3,0.98,1.09,1.9668,0.99,0.858,2.06,1.995,4.7776,5.395,2.005,0.213450798,0.256974564,0.619806734,0.217315029,0.168098305,8,4,38,30,19,69.94782,43.98609,87.97218,2.2,1.1,0.913043478,0.2,2.06,1.03,0.775862069,0.52,2.365,1.1825,0.840466926,0.41,0.205,2.2,1.1,0.913043478,0.2,0.97,0.485,0.732142857,0.3,6,3,2,18,9,14,9,4.5,5,1,0.5,1
114,BeRh,Be, Rh,1,0.71,0.54,0.068,0.6,0.016,1.925,1.72,3.7602,4.6,1.568,0.118407193,0.070306205,0.001155332,0.086068815,6.40E-05,11,5.5,49,41,24.5,93.89332,55.95884,111.91768,2.4,1.2,0.777777778,0.6,2.15,1.075,0.72,0.7,3.6,1.8,0.428571429,2.88,1.44,2.4,1.2,0.777777778,0.6,1.22,0.61,0.50617284,0.8,7,3.5,3,11,5.5,7,6,3,2,2,1,2
115,BePd,Be, Pd,1,0.63,0.63,0.0062,0.45,0.014,1.885,1.765,3.7911,4.675,1.583,0.094461061,0.094461061,9.61E-06,0.049364908,4.90E-05,12,6,50,42,25,97.40782,57.71609,115.43218,2.45,1.225,0.75,0.7,2.18,1.09,0.703125,0.76,3.53,1.765,0.440816327,2.74,1.37,2.45,1.225,0.75,0.7,1.19,0.595,0.525641026,0.74,7,3.5,3,12,6,8,6,3,2,2,1,2
121,BeTe,Be, Te,3,0.53,0.93,1.6476,0.59,0.582,1.835,1.915,4.618,5.195,1.867,0.067815945,0.194445968,0.492696807,0.083345821,0.081194663,8,4,56,48,28,118.58782,68.30609,136.61218,2.45,1.225,0.75,0.7,2.26,1.13,0.661764706,0.92,2.75,1.375,0.646706587,1.18,0.59,2.45,1.225,0.75,0.7,1.52,0.76,0.369369369,1.4,7,3.5,3,18,9,14,8,4,4,1,0.5,1
160,BP,B, P,3,0.15,0.42,0.364,1.33,0.202,2.115,2.11,4.7771,4.955,2.152,0.005609209,0.043141733,0.032581408,0.357394967,0.010149146,8,4,20,10,10,20.162762,20.892381,41.784762,1.85,0.925,0.85,0.3,1.88,0.94,0.773584906,0.48,2.035,1.0175,0.641129032,0.89,0.445,1.85,0.925,0.85,0.3,0.56,0.28,0.806451613,0.12,5,2.5,1,28,14,2,13,6.5,1,2,1,0
166,BTi,B, Ti,6,0.5,0.04,1.4592,0.84,0.671,1.79,1.88,3.8655,3.87,1.7155,0.060586937,0.00039992,0.412756756,0.161717397,0.106456491,7,3.5,27,17,13.5,37.069,29.3455,58.691,2.25,1.125,0.607142857,1.1,2.14,1.07,0.621212121,1,3.375,1.6875,0.308139535,3.57,1.785,2.25,1.125,0.607142857,1.1,1,0.5,0.333333333,1,6,3,2,17,8.5,9,9,4.5,3,3,1.5,1
