Number,compound,Element1,Element2,Class,Pauling EN,Martynov-Batsanov EN,Gordy EN,Mulliken EN,Allred-Rochow EN,Pauling Mean EN,Martynov-Batsanov Mean EN,Gordy Mean EN,Mulliken Mean EN,Allred-Rochow Mean EN,Pauling Ionic Character,Martynov Ionic Character,Gordy Ionic Character,Mulliken Ionic Character,Allred-Rochow Ionic Character,Sum of Valence e-,Mean # e-,Atomic number sum,Atomic number difference,Mean atomic number,Atomic weight difference,Mean atomic weight,Atomic weight sum,Atomic radius sum,Mean atomic radius,Atomic radius ratio,2xatomic radius difference,Covalent radius sum,Mean covalent radius,Covalent radius ratio,2xcovalent radius difference,Zunger radius sum,Mean Zunger radius sum,Zungerradius sum ratio,2xZunger radius sum difference,Zunger radius sum difference,Ionic radius sum,Mean ionic radius,Ionic radius ratio,2xionic radius difference,Crystal radius sum,Mean crystal radius,Crystal radius ratio,2xcrystal radius difference,Period number sum,Mean period number,Period number difference,Group number sum,Mean group number,Group Number difference,Family number sum,Mean family number,Family number difference,Quantum number sum,Mean quantum number ,Quantum number difference
820,PLa,P, La,2,1.09,0.97,0.4423,2.52,1.163,1.645,1.835,4.73795,4.36,1.6715,0.256974564,0.209607009,0.04773062,0.795584379,0.286906157,8,4,72,42,36,107.931738,84.939631,169.879262,2.95,1.475,0.512820513,1.9,2.75,1.375,0.627218935,1.26,4.32,2.16,0.402597403,3.68,1.84,2.95,1.475,0.512820513,1.9,1.67,0.835,0.227941176,2.1,9,4.5,3,18,9,12,10,5,4,3,1.5,1
821,PCe,P, Ce,2,1.07,1.22,0.3857,2.52,1.163,1.655,1.71,4.76625,4.36,1.6715,0.248906399,0.310714689,0.036508027,0.795584379,0.286906157,8,4,73,43,36.5,109.141238,85.544381,171.088762,2.85,1.425,0.540540541,1.7,2.71,1.355,0.642424242,1.18,5.74,2.87,0.275555556,6.52,3.26,2.85,1.425,0.540540541,1.7,1.46,0.73,0.269565217,1.68,9,4.5,3,18,9,12,10,5,4,4,2,2
822,PPr,P, Pr,2,1.06,1.22,0.3196,2.52,1.163,1.66,1.71,4.7993,4.36,1.6715,0.244896158,0.310714689,0.025212753,0.795584379,0.286906157,8,4,74,44,37,109.933888,85.940706,171.881412,2.85,1.425,0.540540541,1.7,2.71,1.355,0.642424242,1.18,5.72,2.86,0.276785714,6.48,3.24,2.85,1.425,0.540540541,1.7,1.63,0.815,0.234848485,2.02,9,4.5,3,18,9,12,10,5,4,4,2,2
823,PNd,P, Nd,2,1.05,1.12,0.2439,2.52,1.163,1.665,1.76,4.83715,4.36,1.6715,0.240902461,0.269188706,0.014761763,0.795584379,0.286906157,8,4,75,45,37.5,113.266238,87.606881,175.213762,2.85,1.425,0.540540541,1.7,2.9,1.45,0.576086957,1.56,5.23,2.615,0.310776942,5.5,2.75,2.85,1.425,0.540540541,1.7,1.61,0.805,0.238461538,1.98,9,4.5,3,18,9,12,10,5,4,4,2,2
825,PSm,P, Sm,2,1.02,1.12,0.0636,2.52,1.163,1.68,1.76,4.9273,4.36,1.6715,0.229025515,0.269188706,0.001010729,0.795584379,0.286906157,8,4,77,47,38.5,119.386238,90.666881,181.333762,2.85,1.425,0.540540541,1.7,2.68,1.34,0.654320988,1.12,5.38,2.69,0.299516908,5.8,2.9,2.85,1.425,0.540540541,1.7,1.41,0.705,0.281818182,1.58,9,4.5,3,18,9,12,10,5,4,4,2,2
826,PEu,P, Eu,2,2.19,1.17,0.041,2.52,1.163,1.095,1.735,4.9796,4.36,1.6715,0.698511981,0.289811606,0.000420162,0.795584379,0.286906157,8,4,78,48,39,120.991238,91.469381,182.938762,2.85,1.425,0.540540541,1.7,2.91,1.455,0.572972973,1.58,5.18,2.59,0.314720812,5.4,2.7,2.85,1.425,0.540540541,1.7,1.62,0.81,0.236641221,2,9,4.5,3,18,9,12,10,5,4,4,2,2
827,PGd,P, Gd,2,0.99,1.22,0.1551,2.52,1.163,1.695,1.71,5.03665,4.36,1.6715,0.217315029,0.310714689,0.005995955,0.795584379,0.286906157,8,4,79,49,39.5,126.276238,94.111881,188.223762,2.8,1.4,0.555555556,1.6,2.67,1.335,0.658385093,1.1,5.15,2.575,0.31713555,5.34,2.67,2.8,1.4,0.555555556,1.6,1.39,0.695,0.287037037,1.54,9,4.5,3,18,9,12,10,5,4,4,2,2
828,PTb,P, Tb,2,0.99,1.12,0.2789,2.52,1.163,1.695,1.76,5.09855,4.36,1.6715,0.217315029,0.269188706,0.019258443,0.795584379,0.286906157,8,4,80,50,40,127.951578,94.949551,189.899102,2.75,1.375,0.571428571,1.5,2.65,1.325,0.666666667,1.06,5.13,2.565,0.318766067,5.3,2.65,2.75,1.375,0.571428571,1.5,1.49,0.745,0.262711864,1.74,9,4.5,3,18,9,12,10,5,4,4,2,2
829,PDy,P, Dy,2,0.97,1.17,0.4123,2.52,1.163,1.705,1.735,5.16525,4.36,1.6715,0.209607009,0.289811606,0.041607448,0.795584379,0.286906157,8,4,81,51,40.5,131.526238,96.736881,193.473762,2.75,1.375,0.571428571,1.5,2.65,1.325,0.666666667,1.06,4.91,2.455,0.337874659,4.86,2.43,2.75,1.375,0.571428571,1.5,1.36,0.68,0.295238095,1.48,9,4.5,3,18,9,12,10,5,4,4,2,2
830,PHo,P, Ho,2,0.96,1.12,0.5552,2.52,1.163,1.71,1.76,5.2367,4.36,1.6715,0.205784147,0.269188706,0.074167328,0.795584379,0.286906157,8,4,82,52,41,133.956558,97.952041,195.904082,2.75,1.375,0.571428571,1.5,2.64,1.32,0.670886076,1.04,4.89,2.445,0.339726027,4.82,2.41,2.75,1.375,0.571428571,1.5,1.35,0.675,0.298076923,1.46,9,4.5,3,18,9,12,10,5,4,4,2,2
831,PEr,P, Er,2,0.95,1.12,0.7078,2.52,1.163,1.715,1.76,5.313,4.36,1.6715,0.201982698,0.269188706,0.117719468,0.795584379,0.286906157,8,4,83,53,41.5,136.286238,99.116881,198.233762,2.75,1.375,0.571428571,1.5,2.63,1.315,0.675159236,1.02,4.87,2.435,0.341597796,4.78,2.39,2.75,1.375,0.571428571,1.5,1.34,0.67,0.300970874,1.44,9,4.5,3,18,9,12,10,5,4,4,2,2
832,PTm,P, Tm,2,0.94,1.12,0.87,2.52,1.163,1.72,1.76,5.3941,4.36,1.6715,0.198203144,0.269188706,0.172399724,0.795584379,0.286906157,8,4,84,54,42,137.960448,99.953986,199.907972,2.75,1.375,0.571428571,1.5,2.62,1.31,0.679487179,1,4.84,2.42,0.344444444,4.72,2.36,2.75,1.375,0.571428571,1.5,1.33,0.665,0.303921569,1.42,9,4.5,3,18,9,12,10,5,4,4,2,2
833,PYb,P, Yb,2,1.09,1.22,1.0418,2.52,1.163,1.645,1.71,5.48,4.36,1.6715,0.256974564,0.310714689,0.237640317,0.795584379,0.286906157,8,4,85,55,42.5,142.066238,102.006881,204.013762,2.75,1.375,0.571428571,1.5,2.62,1.31,0.679487179,1,4.83,2.415,0.3454039,4.7,2.35,2.75,1.375,0.571428571,1.5,1.44,0.72,0.274336283,1.64,9,4.5,3,18,9,12,10,5,4,4,2,2
834,PLu,P, Lu,2,0.92,1.12,1.2233,2.52,1.163,1.73,1.76,5.57075,4.36,1.6715,0.190711652,0.269188706,0.312102698,0.795584379,0.286906157,8,4,86,56,43,143.993238,102.970381,205.940762,2.75,1.375,0.571428571,1.5,2.62,1.31,0.679487179,1,4.61,2.305,0.367952522,4.26,2.13,2.75,1.375,0.571428571,1.5,1.31,0.655,0.31,1.38,9,4.5,3,18,9,12,10,5,4,3,1.5,1
849,SCa,S, Ca,2,1.58,1.48,2.833,4.02,1.555,1.79,1.91,4.4293,4.21,1.8115,0.464256619,0.421663847,0.865537812,0.982404287,0.453655883,8,4,36,4,18,8.012,36.072,72.144,2.8,1.4,0.555555556,1.6,2.76,1.38,0.586206897,1.44,4.1,2.05,0.366666667,3.8,1.9,2.8,1.4,0.555555556,1.6,1.57,0.785,0.377192982,1.42,7,3.5,1,18,9,14,9,4.5,5,1,0.5,1
850,SSc,S, Sc,2,1.22,1.15,2.773,2.88,1.399,1.97,2.075,4.4593,4.78,1.8895,0.310714689,0.281525454,0.853741877,0.87426767,0.38694477,9,4.5,37,5,18.5,12.88991,38.510955,77.02191,2.6,1.3,0.625,1.2,2.46,1.23,0.708333333,0.84,3.85,1.925,0.4,3.3,1.65,2.6,1.3,0.625,1.2,1.32,0.66,0.483146067,0.92,7,3.5,1,19,9.5,13,10,5,4,3,1.5,1
851,STi,S, Ti,7,1.04,0.79,2.7099,2.77,1.209,2.06,2.255,4.49085,4.835,1.9845,0.236925796,0.144462198,0.840528412,0.853132579,0.306095024,10,5,38,6,19,15.814,39.973,79.946,2.4,1.2,0.714285714,0.8,2.34,1.17,0.772727273,0.6,3.68,1.84,0.426356589,2.96,1.48,2.4,1.2,0.714285714,0.8,1.18,0.59,0.573333333,0.64,7,3.5,1,20,10,12,10,5,4,3,1.5,1
852,SV,S, V,7,0.95,0.43,2.6437,2.62,1.059,2.105,2.435,4.52395,4.91,2.0595,0.201982698,0.045172898,0.825754041,0.820234131,0.244496036,11,5.5,39,7,19.5,18.8755,41.50375,83.0075,2.35,1.175,0.740740741,0.7,2.24,1.12,0.836065574,0.4,3.53,1.765,0.452674897,2.66,1.33,2.35,1.175,0.740740741,0.7,1.11,0.555,0.632352941,0.5,7,3.5,1,21,10.5,11,10,5,4,3,1.5,1
854,SMn,S, Mn,2,1.03,0.61,2.5021,2.5,0.839,2.065,2.345,4.59475,4.97,2.1695,0.232966652,0.088829279,0.790938352,0.790388613,0.161365454,13,6.5,41,9,20.5,22.87205,43.502025,87.00405,2.4,1.2,0.714285714,0.8,2.19,1.095,0.871794872,0.3,3.32,1.66,0.495495495,2.24,1.12,2.4,1.2,0.714285714,0.8,1.24,0.62,0.530864198,0.76,7,3.5,1,23,11.5,9,10,5,4,3,1.5,1
856,SCo,S, Co,7,0.7,0.93,2.3482,1.92,0.749,2.23,2.185,4.6717,5.26,2.2145,0.115294095,0.194445968,0.74804652,0.60211808,0.130859294,15,7.5,43,11,21.5,26.8672,45.4996,90.9992,2.35,1.175,0.740740741,0.7,2.18,1.09,0.879310345,0.28,3.12,1.56,0.544554455,1.84,0.92,2.35,1.175,0.740740741,0.7,0.97,0.485,0.796296296,0.22,7,3.5,1,25,12.5,7,10,5,4,3,1.5,1
859,SZn,S, Zn,3,0.93,1.21,2.0943,1.77,0.999,2.115,2.045,4.79865,5.335,2.0895,0.194445968,0.306514536,0.66596955,0.543069967,0.220809914,18,9,46,14,23,33.324,48.728,97.456,2.35,1.175,0.740740741,0.7,2.27,1.135,0.816,0.46,2.98,1.49,0.585106383,1.56,0.78,2.35,1.175,0.740740741,0.7,1.17,0.585,0.581081081,0.62,7,3.5,1,28,14,4,10,5,4,3,1.5,1
866,SSr,S, Sr,2,1.63,1.52,2.487,4.22,1.626,1.765,1.89,4.6023,4.11,1.776,0.485327756,0.438756264,0.786963603,0.988345932,0.483649252,8,4,54,22,27,55.554,59.843,119.686,3,1.5,0.5,2,2.93,1.465,0.534031414,1.78,4.31,2.155,0.342679128,4.22,2.11,3,1.5,0.5,2,1.75,0.875,0.325757576,1.78,8,4,2,18,9,14,9,4.5,5,1,0.5,1
867,SY,S, Y,2,1.36,1.24,2.4415,3.03,1.469,1.9,2.03,4.62505,4.705,1.8545,0.370229619,0.319140971,0.774679301,0.899261275,0.416954616,9,4.5,55,23,27.5,56.83985,60.485925,120.97185,2.8,1.4,0.555555556,1.6,2.64,1.32,0.62962963,1.2,4.04,2.02,0.37414966,3.68,1.84,2.85,1.425,0.540540541,1.7,1.47,0.735,0.413461538,1.22,8,4,2,19,9.5,13,10,5,4,3,1.5,1
868,SZr,S, Zr,2,1.25,0.95,2.3937,2.58,1.269,1.955,2.175,4.64895,4.93,1.9545,0.323366154,0.201982698,0.761276648,0.810638994,0.331414004,10,5,56,24,28,59.158,61.645,123.29,2.55,1.275,0.64516129,1.1,2.47,1.235,0.703448276,0.86,3.925,1.9625,0.389380531,3.45,1.725,2.55,1.275,0.64516129,1.1,1.29,0.645,0.5,0.86,8,4,2,20,10,12,11,5.5,3,3,1.5,1
869,SNb,S, Nb,7,0.98,0.62,2.3435,2.22,1.179,2.09,2.34,4.67405,5.11,1.9995,0.213450798,0.091626826,0.746653728,0.708320593,0.293555227,11,5.5,57,25,28.5,60.84038,62.48619,124.97238,2.45,1.225,0.689655172,0.9,2.36,1.18,0.76119403,0.64,3.86,1.93,0.398550725,3.32,1.66,2.45,1.225,0.689655172,0.9,1.21,0.605,0.551282051,0.7,8,4,2,21,10.5,11,11,5.5,3,3,1.5,1
876,SCd,S, Cd,3,0.89,1.25,1.9271,1.89,1.069,2.135,2.025,4.88225,5.275,2.0545,0.179650656,0.323366154,0.604825802,0.590584604,0.248504644,18,9,64,32,32,80.345,72.2385,144.477,2.55,1.275,0.64516129,1.1,2.5,1.25,0.689189189,0.92,3.315,1.6575,0.496613995,2.23,1.115,2.55,1.275,0.64516129,1.1,1.35,0.675,0.467391304,0.98,8,4,2,28,14,4,11,5.5,3,1,0.5,1
878,SSn,S, Sn,3,0.62,0.77,1.2532,1.92,0.765,2.27,2.265,5.2192,5.26,2.2065,0.091626826,0.13776291,0.324719798,0.60211808,0.136106905,10,5,66,34,33,86.644,75.388,150.776,2.45,1.225,0.689655172,0.9,2.43,1.215,0.723404255,0.78,2.98,1.49,0.585106383,1.56,0.78,2.45,1.225,0.689655172,0.9,1.12,0.56,0.623188406,0.52,8,4,2,30,15,2,12,6,2,2,1,0
883,SBa,S, Ba,2,1.69,1.57,1.3759,3.82,1.708,1.735,1.865,5.15785,4.31,1.735,0.510330693,0.460020984,0.377041392,0.973959441,0.517761271,8,4,72,40,36,105.261,84.6965,169.393,3.15,1.575,0.465116279,2.3,3,1.5,0.515151515,1.92,4.502,2.251,0.323339212,4.604,2.302,3.15,1.575,0.465116279,2.3,1.92,0.96,0.288590604,2.12,9,4.5,3,18,9,14,9,4.5,5,1,0.5,1
884,SLa,S, La,2,1.48,1.3,1.329,3.12,1.499,1.84,2,5.1813,4.66,1.8395,0.421663847,0.344593746,0.356967653,0.91227953,0.42978982,9,4.5,73,41,36.5,106.8395,85.48575,170.9715,2.95,1.475,0.512820513,1.9,2.71,1.355,0.603550296,1.34,4.18,2.09,0.357142857,3.96,1.98,2.95,1.475,0.512820513,1.9,1.79,0.895,0.316176471,1.86,9,4.5,3,19,9.5,13,10,5,4,3,1.5,1
885,SCe,S, Ce,2,1.46,1.55,1.2724,3.12,1.499,1.85,1.875,5.2096,4.66,1.8395,0.413099512,0.451531264,0.332856718,0.91227953,0.42978982,9,4.5,74,42,37,108.049,86.0905,172.181,2.85,1.425,0.540540541,1.7,2.67,1.335,0.618181818,1.26,5.6,2.8,0.244444444,6.8,3.4,2.85,1.425,0.540540541,1.7,1.58,0.79,0.373913043,1.44,9,4.5,3,19,9.5,13,10,5,4,4,2,2
886,SPr,S, Pr,2,1.45,1.55,1.2063,3.12,1.499,1.855,1.875,5.24265,4.66,1.8395,0.408814242,0.451531264,0.304962809,0.91227953,0.42978982,9,4.5,75,43,37.5,108.84165,86.486825,172.97365,2.85,1.425,0.540540541,1.7,2.67,1.335,0.618181818,1.26,5.58,2.79,0.245535714,6.76,3.38,2.85,1.425,0.540540541,1.7,1.75,0.875,0.325757576,1.78,9,4.5,3,19,9.5,13,10,5,4,4,2,2
887,SNd,S, Nd,2,1.44,1.45,1.1306,3.12,1.499,1.86,1.925,5.2805,4.66,1.8395,0.404527458,0.408814242,0.273534358,0.91227953,0.42978982,9,4.5,76,44,38,112.174,88.153,176.306,2.85,1.425,0.540540541,1.7,2.86,1.43,0.554347826,1.64,5.09,2.545,0.275689223,5.78,2.89,2.85,1.425,0.540540541,1.7,1.73,0.865,0.330769231,1.74,9,4.5,3,19,9.5,13,10,5,4,4,2,2
889,SSm,S, Sm,2,1.41,1.45,0.9503,3.12,1.499,1.875,1.925,5.37065,4.66,1.8395,0.391662225,0.408814242,0.202096425,0.91227953,0.42978982,9,4.5,78,46,39,118.294,91.213,182.426,2.85,1.425,0.540540541,1.7,2.64,1.32,0.62962963,1.2,5.24,2.62,0.265700483,6.08,3.04,2.85,1.425,0.540540541,1.7,1.53,0.765,0.390909091,1.34,9,4.5,3,19,9.5,13,10,5,4,4,2,2
890,SEu,S, Eu,2,2.58,1.5,0.8457,3.12,1.499,1.29,1.9,5.42295,4.66,1.8395,0.810638994,0.430217175,0.163728638,0.91227953,0.42978982,9,4.5,79,47,39.5,119.899,92.0155,184.031,2.85,1.425,0.540540541,1.7,2.87,1.435,0.551351351,1.66,5.04,2.52,0.279187817,5.68,2.84,2.85,1.425,0.540540541,1.7,1.74,0.87,0.328244275,1.76,9,4.5,3,19,9.5,13,10,5,4,4,2,2
891,SGd,S, Gd,2,1.38,1.55,0.7316,3.12,1.499,1.89,1.875,5.48,4.66,1.8395,0.378798641,0.451531264,0.125243433,0.91227953,0.42978982,9,4.5,80,48,40,125.184,94.658,189.316,2.8,1.4,0.555555556,1.6,2.63,1.315,0.633540373,1.18,5.01,2.505,0.281329923,5.62,2.81,2.8,1.4,0.555555556,1.6,1.51,0.755,0.398148148,1.3,9,4.5,3,19,9.5,13,10,5,4,4,2,2
892,STb,S, Tb,2,1.38,1.45,0.6078,3.12,1.499,1.89,1.925,5.5419,4.66,1.8395,0.378798641,0.408814242,0.088218782,0.91227953,0.42978982,9,4.5,81,49,40.5,126.85934,95.49567,190.99134,2.75,1.375,0.571428571,1.5,2.61,1.305,0.641509434,1.14,4.99,2.495,0.28277635,5.58,2.79,2.75,1.375,0.571428571,1.5,1.61,0.805,0.36440678,1.5,9,4.5,3,19,9.5,13,10,5,4,4,2,2
893,SDy,S, Dy,2,1.36,1.5,0.4744,3.12,1.499,1.9,1.9,5.6086,4.66,1.8395,0.370229619,0.430217175,0.054710302,0.91227953,0.42978982,9,4.5,82,50,41,130.434,97.283,194.566,2.75,1.375,0.571428571,1.5,2.61,1.305,0.641509434,1.14,4.77,2.385,0.29972752,5.14,2.57,2.75,1.375,0.571428571,1.5,1.48,0.74,0.40952381,1.24,9,4.5,3,19,9.5,13,10,5,4,4,2,2
894,SHo,S, Ho,2,1.35,1.45,0.3315,3.12,1.499,1.905,1.925,5.68005,4.66,1.8395,0.365948438,0.408814242,0.02709911,0.91227953,0.42978982,9,4.5,83,51,41.5,132.86432,98.49816,196.99632,2.75,1.375,0.571428571,1.5,2.6,1.3,0.64556962,1.12,4.75,2.375,0.301369863,5.1,2.55,2.75,1.375,0.571428571,1.5,1.47,0.735,0.413461538,1.22,9,4.5,3,19,9.5,13,10,5,4,4,2,2
895,SEr,S, Er,2,1.34,1.45,0.1789,3.12,1.499,1.91,1.925,5.75635,4.66,1.8395,0.361670072,0.408814242,0.007969377,0.91227953,0.42978982,9,4.5,84,52,42,135.194,99.663,199.326,2.75,1.375,0.571428571,1.5,2.59,1.295,0.649681529,1.1,4.73,2.365,0.303030303,5.06,2.53,2.75,1.375,0.571428571,1.5,1.46,0.73,0.417475728,1.2,9,4.5,3,19,9.5,13,10,5,4,4,2,2
896,STm,S, Tm,2,1.33,1.45,0.0167,3.12,1.499,1.915,1.925,5.83745,4.66,1.8395,0.357394967,0.408814242,6.97E-05,0.91227953,0.42978982,9,4.5,85,53,42.5,136.86821,100.500105,201.00021,2.75,1.375,0.571428571,1.5,2.58,1.29,0.653846154,1.08,4.7,2.35,0.305555556,5,2.5,2.75,1.375,0.571428571,1.5,1.45,0.725,0.421568627,1.18,9,4.5,3,19,9.5,13,10,5,4,4,2,2
897,SYb,S, Yb,2,1.48,1.55,0.1551,3.12,1.499,1.84,1.875,5.92335,4.66,1.8395,0.421663847,0.451531264,0.005995955,0.91227953,0.42978982,9,4.5,86,54,43,140.974,102.553,205.106,2.75,1.375,0.571428571,1.5,2.58,1.29,0.653846154,1.08,4.69,2.345,0.306406685,4.98,2.49,2.75,1.375,0.571428571,1.5,1.56,0.78,0.380530973,1.4,9,4.5,3,19,9.5,13,10,5,4,4,2,2
898,SLu,S, Lu,2,1.31,1.45,0.3366,3.12,1.499,1.925,1.925,6.0141,4.66,1.8395,0.34885635,0.408814242,0.027927501,0.91227953,0.42978982,9,4.5,87,55,43.5,142.901,103.5165,207.033,2.75,1.375,0.571428571,1.5,2.58,1.29,0.653846154,1.08,4.47,2.235,0.326409496,4.54,2.27,2.75,1.375,0.571428571,1.5,1.43,0.715,0.43,1.14,9,4.5,3,19,9.5,13,10,5,4,3,1.5,1
909,SPb,S, Pb,2,0.78,0.73,1.1054,2.32,0.735,2.19,2.285,5.2931,5.06,2.2215,0.141097614,0.124731865,0.263228363,0.739616569,0.126333233,10,5,98,66,49,175.134,119.633,239.266,2.8,1.4,0.555555556,1.6,2.49,1.245,0.693877551,0.9,3.19,1.595,0.526315789,1.98,0.99,2.8,1.4,0.555555556,1.6,1.92,0.96,0.288590604,2.12,9,4.5,3,30,15,2,12,6,2,2,1,0
911,ClK,Cl, K,2,2.34,2.18,4.0564,5.88,2.135,1.99,1.89,4.8164,5.36,1.8015,0.745613369,0.695200166,0.983651109,0.999823749,0.680039027,8,4,36,2,18,3.6456,37.2755,74.551,3.2,1.6,0.454545455,2.4,3.02,1.51,0.487684729,2.08,4.7,2.35,0.273712737,5.36,2.68,3.2,1.6,0.454545455,2.4,3.19,1.595,0.910179641,0.3,7,3.5,1,18,9,16,9,4.5,7,1,0.5,1
921,ClCu,Cl, Cu,3,1.26,1.9,3.1809,3.82,1.019,2.53,2.03,5.25415,6.39,2.3595,0.327598738,0.594445495,0.920303627,0.973959441,0.228632411,18,9,46,12,23,28.0933,49.49935,98.9987,2.35,1.175,0.740740741,0.7,2.16,1.08,0.846153846,0.36,3.05,1.525,0.495098039,2.06,1.03,2.35,1.175,0.740740741,0.7,2.38,1.19,0.425149701,1.92,7,3.5,1,28,14,6,11,5.5,5,3,1.5,1
928,ClRb,Cl, Rb,2,2.34,2.18,3.656,5.96,2.163,1.99,1.89,5.0166,5.32,1.7875,0.745613369,0.695200166,0.96461913,0.999860911,0.689522005,8,4,54,20,27,50.0151,60.46025,120.9205,3.35,1.675,0.425531915,2.7,3.15,1.575,0.458333333,2.34,5.11,2.555,0.246341463,6.18,3.09,3.35,1.675,0.425531915,2.7,3.33,1.665,0.994011976,0.02,8,4,2,18,9,16,9,4.5,7,1,0.5,1
938,ClAg,Cl, Ag,2,1.23,1.91,2.9924,3.86,0.999,2.545,2.025,5.3484,6.37,2.3695,0.314923659,0.598290063,0.893393889,0.975884488,0.220809914,18,9,64,30,32,72.4155,71.66045,143.3209,2.6,1.3,0.625,1.2,2.33,1.165,0.73880597,0.7,3.385,1.6925,0.425263158,2.73,1.365,2.6,1.3,0.625,1.2,2.96,1.48,0.77245509,0.76,8,4,2,28,14,6,12,6,4,1,0.5,1
945,ClCs,Cl, Cs,1,2.37,2.21,2.412,6.12,2.21,1.975,1.875,5.6386,5.24,1.764,0.75444271,0.705072289,0.766467961,0.999914209,0.705072289,8,4,72,38,36,97.45273,84.179065,168.35813,3.6,1.8,0.384615385,3.2,3.34,1.67,0.421276596,2.72,5.32,2.66,0.234338747,6.6,3.3,3.6,1.8,0.384615385,3.2,3.48,1.74,0.922651934,0.28,9,4.5,3,18,9,16,9,4.5,7,1,0.5,1
971,ClTl,Cl, Tl,1,1.54,1.29,2.1828,5.1,1.08,2.39,2.335,5.7532,5.75,2.329,0.447277936,0.340336221,0.696129593,0.998500315,0.252932697,10,5,98,64,49,168.9306,119.918,239.836,2.9,1.45,0.526315789,1.8,2.47,1.235,0.668918919,0.98,3.245,1.6225,0.451901566,2.45,1.225,2.9,1.45,0.526315789,1.8,2.7,1.35,0.616766467,1.28,9,4.5,3,30,15,4,13,6.5,3,2,1,0
989,KBr,K, Br,2,2.14,2.03,3.6197,5.17,1.951,1.89,1.815,4.59805,5.005,1.7095,0.681744258,0.643073357,0.96220419,0.998747013,0.613877364,8,4,54,16,27,40.8057,59.50115,119.0023,3.35,1.675,0.522727273,2.1,3.17,1.585,0.561576355,1.78,4.89,2.445,0.325203252,4.98,2.49,3.35,1.675,0.522727273,2.1,3.34,1.67,0.835164835,0.6,8,4,0,18,9,16,9,4.5,7,1,0.5,1
1006,KI,K, I,2,1.84,1.96,3.1437,4.34,1.625,1.74,1.78,4.36005,4.59,1.5465,0.571043601,0.617260241,0.91547538,0.990985312,0.483229417,8,4,72,34,36,87.80617,83.001385,166.00277,3.6,1.8,0.636363636,1.6,3.36,1.68,0.655172414,1.4,5.275,2.6375,0.429539295,4.21,2.105,3.6,1.8,0.636363636,1.6,3.58,1.79,0.737864078,1.08,9,4.5,1,18,9,16,9,4.5,7,1,0.5,1
1045,CaZn,Ca, Zn,5,0.65,0.27,0.7387,2.25,0.556,1.325,1.305,3.38215,3.325,1.312,0.100238004,0.018059929,0.127523381,0.717937048,0.074373062,14,7,50,10,25,25.312,52.734,105.468,3.15,1.575,0.75,0.9,2.99,1.495,0.718390805,0.98,4.88,2.44,0.626666667,2.24,1.12,3.15,1.575,0.75,0.9,1.88,0.94,0.649122807,0.8,8,4,0,14,7,10,5,2.5,1,2,1,2
1046,CaGa,Ca, Ga,5,0.81,0.53,1.1544,1,0.722,1.405,1.435,3.59,2.7,1.395,0.151279196,0.067815945,0.283344365,0.221199217,0.122186392,5,2.5,51,11,25.5,29.645,54.9005,109.801,3.1,1.55,0.722222222,1,3,1.5,0.724137931,0.96,4.695,2.3475,0.565,2.61,1.305,3.1,1.55,0.722222222,1,1.9,0.95,0.666666667,0.76,8,4,0,15,7.5,11,7,3.5,3,1,0.5,1
1047,CaGe,Ca, Ge,5,1.01,0.82,1.6278,2.4,0.96,1.505,1.58,3.8267,3.4,1.514,0.225102875,0.154730696,0.484404745,0.763072241,0.205784147,6,3,52,12,26,32.532,56.344,112.688,3.05,1.525,0.694444444,1.1,2.96,1.48,0.701149425,1.04,4.56,2.28,0.52,2.88,1.44,3.05,1.525,0.694444444,1.1,1.67,0.835,0.464912281,1.22,8,4,0,16,8,12,8,4,4,1,0.5,1
1049,CaSe,Ca, Se,2,1.55,1.37,2.7482,3.69,1.4,1.775,1.855,4.3869,4.045,1.734,0.451531264,0.374513167,0.848648572,0.966760787,0.387373606,8,4,54,14,27,38.882,59.519,119.038,2.95,1.475,0.638888889,1.3,2.9,1.45,0.666666667,1.16,4.285,2.1425,0.428333333,3.43,1.715,2.95,1.475,0.638888889,1.3,1.7,0.85,0.49122807,1.16,8,4,0,18,9,14,9,4.5,5,1,0.5,1
1060,CaPd,Ca, Pd,1,1.2,0.91,0.7752,2.25,0.556,1.6,1.625,3.4004,3.325,1.312,0.302323674,0.187000675,0.139493199,0.717937048,0.074373062,12,6,66,26,33,66.342,73.249,146.498,3.2,1.6,0.777777778,0.8,3.02,1.51,0.735632184,0.92,5.45,2.725,0.816666667,1.1,0.55,3.2,1.6,0.777777778,0.8,1.92,0.96,0.684210526,0.72,9,4.5,1,12,6,8,6,3,2,2,1,2
1061,CaAg,Ca, Ag,5,0.93,0.1,0.8394,2.24,0.836,1.465,1.12,3.4325,3.32,1.452,0.194445968,0.002496878,0.161506198,0.714753055,0.160311257,13,6.5,67,27,33.5,67.7902,73.9731,147.9462,3.4,1.7,0.888888889,0.4,3.08,1.54,0.770114943,0.8,5.375,2.6875,0.791666667,1.25,0.625,3.4,1.7,0.888888889,0.4,2.43,1.215,0.88372093,0.3,9,4.5,1,13,6.5,9,6,3,2,0,0,0
