               Index         classified?        descriptor_1
                   1                   1    0.1477538462E+05
                   2                   1    0.1163461538E+05
                   3                   1    0.3239382022E+05
                   4                   1    0.2990131579E+05
                   5                   1    0.2045454545E+05
